id,name
508,Los Angeles - South Gate
510,Los Angeles - South Pasadena
530,Los Angeles - Temple City
533,Los Angeles - Torrance
557,Los Angeles - Vernon
562,Los Angeles - Walnut
569,Los Angeles - West Covina
570,Los Angeles - West Hollywood
572,Los Angeles - Westlake Village
576,Los Angeles - Whittier
83,Madera - Chowchilla
279,Madera - Madera
281,Madera - Madera-Unincorporated
41,Marin - Belvedere
107,Marin - Corte Madera
153,Marin - Fairfax
251,Marin - Larkspur
110,Marin - Marin County Hazardous and Solid Waste Management Authority
288,Marin - Marin-Unincorporated
304,Marin - Mill Valley
343,Marin - Novato
417,Marin - Ross
422,Marin - San Anselmo
457,Marin - San Rafael
479,Marin - Sausalito
532,Marin - Tiburon
291,Mariposa - Mariposa-Unincorporated
161,Mendocino - Fort Bragg
297,Mendocino - Mendocino-Unincorporated
385,Mendocino - Point Arena
548,Mendocino - Ukiah
578,Mendocino - Willits
27,Merced - Atwater
132,Merced - Dos Palos
186,Merced - Gustine
262,Merced - Livingston
275,Merced - Los Banos
300,Merced - Merced
301,Merced - Merced County Solid Waste Regional Agency
303,Merced - Merced-Unincorporated
10,Modoc - Alturas
310,Modoc - Modoc-Unincorporated
283,Mono - Mammoth Lakes
312,Mono - Mono-Unincorporated
74,Monterey - Carmel-by-the-Sea
125,Monterey - Del Rey Oaks
179,Monterey - Gonzales
182,Monterey - Greenfield
226,Monterey - King City
289,Monterey - Marina
318,Monterey - Monterey
321,Monterey - Monterey-Unincorporated
357,Monterey - Pacific Grove
421,Monterey - Salinas
629,Monterey - Salinas Valley Solid Waste Authority
459,Monterey - Sand City
482,Monterey - Seaside
500,Monterey - Soledad
14,Napa - American Canyon
68,Napa - Calistoga
330,Napa - Napa
332,Napa - Napa-Unincorporated
512,Napa - St Helena
552,Napa - Upper Valley Waste Management Agency
588,Napa - Yountville
181,Nevada - Grass Valley
335,Nevada - Nevada City
337,Nevada - Nevada-Unincorporated
538,Nevada - Truckee
615,Orange - Aliso Viejo
15,Orange - Anaheim
52,Orange - Brea
56,Orange - Buena Park
108,Orange - Costa Mesa
116,Orange - Cypress
118,Orange - Dana Point
165,Orange - Fountain Valley
171,Orange - Fullerton
173,Orange - Garden Grove
205,Orange - Huntington Beach
219,Orange - Irvine
232,Orange - La Habra
236,Orange - La Palma
241,Orange - Laguna Beach
242,Orange - Laguna Hills
243,Orange - Laguna Niguel
604,Orange - Laguna Woods
245,Orange - Lake Forest
